machine_id,plant_location,temperature,vibration,pressure,humidity,runtime_hours,load_percentage,maintenance_history,failure_within_7days
M00063,Plant_A,49.8,0.807,40.0,57.21,1956,98.46,4,0
M00064,Plant_A,81.84,0.827,41.44,55.23,2759,85.89,0,0
M00065,Plant_C,98.01,0.838,34.22,65.18,2869,57.16,3,0
M00066,Plant_B,92.39,0.829,41.23,65.97,2089,51.16,4,0
M00067,Plant_D,82.1,0.754,30.24,55.67,2490,91.26,1,0
M00068,Plant_A,75.08,1.186,31.62,67.82,2282,92.05,5,1
M00069,Plant_D,88.07,0.932,24.5,41.94,1985,87.32,5,1
M00070,Plant_B,70.26,0.977,36.93,43.4,1077,64.0,4,0
M00071,Plant_B,84.76,1.072,37.6,57.9,2094,81.99,0,0
M00072,Plant_B,85.05,0.416,44.43,50.62,479,65.81,2,0
M00073,Plant_A,90.6,0.284,41.33,53.93,1613,72.53,0,0
M00074,Plant_B,107.6,0.683,32.72,49.84,1248,69.12,1,0
M00075,Plant_A,83.92,0.714,25.57,52.14,2185,95.68,0,0
M00076,Plant_B,74.91,1.029,38.46,64.68,880,61.71,3,0
M00077,Plant_D,79.74,0.644,43.89,57.8,409,78.88,5,0
M00078,Plant_D,62.31,0.771,41.04,69.92,2253,68.05,0,0
M00079,Plant_C,73.05,0.727,43.68,63.61,655,83.15,4,0
M00080,Plant_D,75.91,0.238,33.3,48.21,496,78.23,2,0
M00081,Plant_C,74.76,0.815,31.27,47.93,2300,96.2,3,0
M00082,Plant_D,81.52,1.028,29.1,50.08,2683,55.08,3,0
M00083,Plant_A,71.78,0.358,34.55,65.3,1983,61.03,3,0
M00084,Plant_D,91.21,0.794,34.37,40.82,1269,88.32,1,0
M00085,Plant_C,80.0,0.794,36.65,46.91,2730,68.44,1,0
M00086,Plant_C,79.91,0.364,33.97,67.15,300,58.29,4,0
M00087,Plant_B,76.72,0.323,33.93,59.2,1990,75.17,2,0
M00088,Plant_A,81.55,1.18,28.79,46.81,111,82.61,0,0
M00089,Plant_D,88.25,0.594,42.53,46.57,1175,52.24,4,0
M00090,Plant_B,71.33,0.427,35.61,65.88,2076,64.58,1,0
M00091,Plant_D,73.42,0.371,33.6,66.81,2915,90.47,4,1
M00092,Plant_D,76.96,0.868,29.02,47.68,1425,76.01,2,0
M00093,Plant_B,66.54,0.809,24.34,52.62,1995,51.77,4,0
M00094,Plant_B,71.81,0.844,45.46,65.04,1019,64.1,5,1
M00095,Plant_B,75.24,0.288,39.44,63.13,2668,81.96,5,0
M00096,Plant_B,88.74,1.094,22.01,64.42,2247,59.97,3,1
M00097,Plant_B,82.63,0.589,41.11,55.55,970,91.37,0,0
M00098,Plant_D,81.94,0.513,42.38,67.35,465,83.83,1,1
M00099,Plant_B,88.51,0.662,36.0,49.78,756,73.57,1,0
M00100,Plant_A,78.63,0.59,47.78,44.7,260,95.78,5,1
M00101,Plant_C,83.9,1.064,36.73,61.26,2908,69.59,2,1
M00102,Plant_B,78.97,1.129,23.67,56.18,274,61.75,2,0
M00103,Plant_B,82.65,0.503,37.92,65.64,1603,83.07,2,0
M00104,Plant_D,74.17,1.064,36.96,42.43,644,78.66,1,0
M00105,Plant_B,55.61,0.982,30.17,65.31,2624,66.76,3,0
M00106,Plant_B,78.66,1.131,39.59,48.8,2430,67.18,0,0
M00107,Plant_B,94.23,0.446,21.66,59.65,1861,69.91,2,0
M00108,Plant_D,89.26,0.777,42.92,41.2,1056,64.56,1,0
M00109,Plant_B,89.65,0.475,27.98,58.29,551,85.51,3,0
M00110,Plant_C,92.36,1.024,27.12,61.52,181,82.57,2,0
M00111,Plant_D,80.89,0.205,34.09,51.06,1336,72.04,2,0
M00112,Plant_C,81.97,0.765,38.46,46.46,915,69.89,0,0
M00113,Plant_D,73.82,0.539,36.31,56.13,2667,68.25,5,0
M00114,Plant_B,76.84,0.523,29.06,65.0,2281,64.17,0,0
M00115,Plant_C,86.16,0.845,30.95,49.71,546,54.28,4,0
M00116,Plant_D,92.04,1.051,25.94,47.57,2265,63.41,5,1
M00117,Plant_A,78.61,0.809,33.2,48.37,1719,66.06,5,0
M00118,Plant_B,75.5,1.053,43.6,68.47,1893,77.38,5,0
M00119,Plant_D,80.01,0.465,34.97,50.78,848,88.69,2,0
M00120,Plant_A,86.01,0.72,41.88,40.11,1273,69.79,4,1
M00121,Plant_D,65.56,0.651,46.64,63.45,2009,97.24,1,0
M00122,Plant_A,57.04,0.212,30.3,60.98,1656,91.37,0,0
M00123,Plant_B,74.49,0.757,33.51,43.86,745,99.24,5,0
M00124,Plant_C,67.79,0.862,52.37,69.55,478,93.81,5,0
M00125,Plant_A,74.92,0.792,46.55,58.24,2755,80.84,3,0
M00126,Plant_D,78.52,0.936,21.62,55.02,2672,79.92,2,0
M00127,Plant_B,75.47,0.771,38.1,51.47,1240,56.48,2,0
M00128,Plant_A,94.52,0.267,35.0,66.96,2723,86.12,4,0
M00129,Plant_D,83.27,0.316,41.61,47.32,1036,80.01,0,0
M00130,Plant_D,83.0,0.796,29.04,48.57,2113,75.35,5,0
M00131,Plant_D,86.22,0.475,28.28,43.67,761,84.66,5,0
M00132,Plant_A,68.61,0.28,29.59,62.77,1440,72.2,4,1
M00133,Plant_A,90.39,0.63,30.42,57.87,975,76.19,2,0
M00134,Plant_A,79.24,0.754,41.52,58.27,111,69.92,0,0
M00135,Plant_C,86.7,0.529,25.55,46.55,1213,85.87,2,0
M00136,Plant_A,69.28,0.92,30.02,59.54,487,93.83,0,0
M00137,Plant_A,64.46,0.844,20.69,62.96,2230,92.04,2,0
M00138,Plant_A,88.18,0.533,43.06,50.74,2019,89.3,3,0
M00139,Plant_C,83.76,0.955,45.17,64.04,495,50.69,5,0
M00140,Plant_A,70.98,0.849,32.38,50.46,2692,95.59,4,0
M00141,Plant_D,71.3,0.837,32.62,62.74,2808,63.74,0,0
M00142,Plant_A,91.25,0.753,38.63,41.01,739,94.4,4,0
M00143,Plant_D,68.11,0.211,46.8,56.53,199,59.85,0,0
M00144,Plant_D,96.43,0.897,38.27,69.09,556,71.98,0,0
M00145,Plant_D,70.99,0.576,29.42,69.44,2122,87.47,5,1
M00146,Plant_C,86.38,1.143,22.05,48.45,2475,82.01,0,0
M00147,Plant_C,76.71,1.018,26.08,53.24,2871,70.8,2,0
M00148,Plant_C,86.03,0.788,35.59,41.89,173,83.93,1,0
M00149,Plant_A,74.56,0.452,29.76,66.2,2239,77.45,2,0
M00150,Plant_D,78.37,0.404,36.56,57.06,2477,63.79,1,0
M00151,Plant_C,80.41,0.54,30.58,51.55,1963,82.32,5,0
M00152,Plant_C,69.98,0.677,26.53,43.38,274,60.21,5,0
M00153,Plant_A,87.41,0.496,25.58,68.4,1860,84.7,2,0
M00154,Plant_C,74.87,0.715,47.5,55.91,2462,50.16,1,0
M00155,Plant_A,77.71,0.365,42.11,48.49,596,77.44,5,1
M00156,Plant_B,70.06,1.178,48.84,50.51,1392,70.05,0,0
M00157,Plant_C,54.38,0.308,39.32,48.12,527,65.16,0,0
M00158,Plant_B,78.09,1.132,31.56,58.05,134,75.79,1,0
M00159,Plant_A,104.13,1.114,45.59,67.9,2266,82.27,1,1
M00160,Plant_D,87.85,0.725,34.74,65.7,1494,98.27,4,0
M00161,Plant_C,79.81,0.925,36.77,53.81,1480,91.65,0,0
M00162,Plant_A,77.37,0.636,34.66,64.79,2975,85.86,2,0
M00163,Plant_D,80.22,0.83,11.42,52.69,2537,73.95,4,0
M00164,Plant_D,85.47,0.541,47.84,47.57,275,69.61,1,0
M00165,Plant_B,68.19,0.501,38.93,69.5,2253,51.63,5,0
M00166,Plant_A,91.14,0.778,37.64,49.12,691,67.95,2,0
M00167,Plant_D,87.15,0.698,34.51,49.71,1286,92.42,3,0
M00168,Plant_C,87.18,0.78,36.31,69.69,1013,69.2,3,0
M00169,Plant_C,84.38,0.487,30.22,44.02,1390,73.08,5,1
M00170,Plant_B,80.2,0.567,39.93,62.82,1686,63.59,3,0
M00171,Plant_D,86.73,0.284,24.54,68.07,1402,63.71,5,0
M00172,Plant_A,85.92,0.252,36.49,55.35,1426,53.09,2,0
M00173,Plant_C,76.46,0.453,39.49,40.08,1052,80.69,5,0
M00174,Plant_D,74.26,0.274,33.41,51.25,960,72.4,1,0
M00175,Plant_D,81.02,0.304,37.97,43.35,2274,80.3,2,0
M00176,Plant_B,95.49,1.013,27.07,52.49,1369,77.34,4,0
M00177,Plant_C,67.61,0.239,27.27,63.7,2971,89.94,4,0
M00178,Plant_C,65.32,0.859,36.89,53.16,333,87.55,3,0
M00179,Plant_A,81.65,0.473,40.43,52.96,2814,88.57,1,0
M00180,Plant_C,80.51,1.072,20.0,56.7,1562,74.96,4,1
M00181,Plant_A,81.73,0.685,39.18,57.45,2284,67.69,0,0
M00182,Plant_C,82.44,0.506,30.65,65.69,1909,96.67,0,0
M00183,Plant_B,77.77,0.718,33.46,49.25,2703,52.71,3,1
M00184,Plant_C,94.9,0.582,24.28,64.65,2906,57.63,3,0
M00185,Plant_A,63.99,0.764,28.19,56.98,1272,70.98,3,0
M00186,Plant_A,71.72,0.315,42.73,49.02,155,80.7,4,0
M00187,Plant_B,78.97,1.197,35.26,48.85,2503,50.41,1,0
M00188,Plant_C,63.57,0.626,31.94,50.83,912,85.97,5,0
M00189,Plant_C,78.24,0.548,34.07,58.68,1949,77.94,5,1
M00190,Plant_B,96.61,0.91,38.91,46.92,2059,74.24,3,0
M00191,Plant_C,80.21,0.564,38.52,67.61,1186,71.17,2,0
M00192,Plant_C,82.31,1.033,34.4,57.25,905,75.97,3,0
M00193,Plant_A,67.4,0.654,43.74,67.6,1675,58.09,5,1
M00194,Plant_C,73.84,0.92,42.76,41.39,699,55.44,5,0
M00195,Plant_C,76.25,0.307,38.31,50.28,2715,64.48,5,0
M00196,Plant_B,76.82,1.046,35.44,40.68,2852,85.48,4,0
M00197,Plant_B,92.82,0.936,40.26,48.17,711,79.41,1,0
M00198,Plant_D,85.58,0.412,37.51,65.86,1338,74.01,3,0
M00199,Plant_A,68.89,0.345,43.49,41.1,2288,78.58,0,0
M00200,Plant_C,82.47,0.516,42.2,53.08,2049,77.96,3,0
M00201,Plant_C,84.98,1.176,26.85,43.53,1630,65.35,3,0
M00202,Plant_D,91.4,0.457,26.31,52.51,660,54.87,1,0
M00203,Plant_C,95.81,0.656,29.39,65.17,2646,94.84,2,0
M00204,Plant_A,69.85,0.23,42.81,58.69,726,80.0,3,0
M00205,Plant_D,71.89,0.597,22.39,62.1,2649,84.89,3,0
M00206,Plant_A,67.42,0.771,38.16,50.47,2888,73.2,5,1
M00207,Plant_D,77.66,1.153,37.9,68.33,2911,87.82,4,1
M00208,Plant_D,84.66,0.717,44.3,61.28,1710,79.22,1,0
M00209,Plant_B,89.87,1.019,36.44,52.65,774,52.69,4,0
M00210,Plant_A,79.24,0.747,24.25,52.79,148,94.5,5,1
M00211,Plant_C,76.8,0.241,27.33,67.56,1486,65.28,3,0
M00212,Plant_C,81.52,0.515,25.54,57.29,2002,56.89,3,0
M00213,Plant_A,71.65,0.776,30.7,61.19,726,54.4,0,0
M00214,Plant_C,100.9,1.151,33.54,52.51,2827,86.02,4,1
M00215,Plant_C,63.92,1.059,25.68,46.71,376,85.2,5,1
M00216,Plant_A,81.85,0.428,46.77,61.71,2194,85.01,1,0
M00217,Plant_D,100.24,0.42,24.4,58.23,315,95.79,3,0
M00218,Plant_A,80.07,0.401,45.77,55.04,329,67.45,0,0
M00219,Plant_D,78.1,1.122,44.48,58.72,2470,78.06,0,0
M00220,Plant_C,76.43,1.053,42.19,46.25,2372,80.97,2,0
M00221,Plant_C,78.2,0.975,29.45,63.82,1785,98.97,1,1
M00222,Plant_C,93.73,0.593,37.74,68.44,1410,65.62,0,0
M00223,Plant_B,57.88,0.704,24.78,66.73,145,97.82,1,0
M00224,Plant_D,95.33,0.664,42.29,49.64,1936,57.44,3,0
M00225,Plant_B,65.76,0.453,34.41,52.18,1137,88.2,2,0
M00226,Plant_B,77.33,0.705,31.73,64.25,732,81.64,5,1
M00227,Plant_A,75.71,0.23,25.21,57.85,2522,90.84,1,0
M00228,Plant_B,85.89,0.332,15.18,56.44,2850,51.43,5,0
M00229,Plant_A,64.02,1.087,26.69,67.8,1086,53.91,2,0
M00230,Plant_A,84.62,0.952,43.9,56.08,432,53.48,5,0
M00231,Plant_B,100.24,0.623,31.78,55.45,1979,79.65,1,0
M00232,Plant_D,66.37,0.717,33.65,41.26,2313,80.15,5,0
M00233,Plant_D,81.9,0.57,40.24,42.08,606,95.31,1,0
M00234,Plant_D,73.38,0.941,49.45,40.22,216,73.38,4,1
M00235,Plant_D,84.26,0.984,45.6,67.4,1042,53.4,2,0
M00236,Plant_D,80.19,0.963,27.22,52.25,735,60.48,1,1
M00237,Plant_B,73.59,0.923,19.46,54.06,1689,50.4,4,0
M00238,Plant_B,84.88,0.405,53.88,65.36,1562,88.84,4,0
M00239,Plant_C,98.04,0.538,53.15,58.28,2604,90.78,2,1
M00240,Plant_D,78.09,0.67,36.51,58.29,2091,99.9,3,0
M00241,Plant_B,87.2,0.531,24.84,48.9,968,70.61,2,0
M00242,Plant_C,67.07,0.955,42.71,65.02,1394,50.96,1,0
M00243,Plant_D,70.44,0.529,34.14,44.97,1834,61.74,3,0
M00244,Plant_A,84.72,0.338,34.1,41.59,2363,79.39,2,0
M00245,Plant_C,94.84,0.599,42.16,45.75,212,98.1,2,0
M00246,Plant_B,83.56,1.18,37.67,48.03,2363,55.18,2,0
M00247,Plant_A,76.87,0.426,25.51,48.47,526,56.08,2,0
M00248,Plant_A,79.99,0.812,32.4,60.12,1258,85.09,3,0
M00249,Plant_A,67.5,0.633,40.29,46.53,1166,83.36,1,0
M00250,Plant_C,86.05,0.271,39.08,60.3,2911,62.53,4,0
M00251,Plant_B,88.82,0.688,37.1,42.73,383,90.66,2,0
M00252,Plant_A,75.48,0.902,42.47,44.42,933,56.44,4,0
M00253,Plant_D,75.3,0.713,32.11,55.26,329,96.29,4,1
M00254,Plant_A,82.66,1.072,36.43,67.66,2019,60.05,4,0
M00255,Plant_A,75.63,0.489,8.0,65.79,1766,54.07,2,0
M00256,Plant_C,79.34,0.286,31.4,69.06,484,66.98,2,0
M00257,Plant_C,101.0,1.137,41.11,59.51,258,59.39,5,0
M00258,Plant_B,77.53,0.578,31.88,60.27,923,76.35,2,0
M00259,Plant_D,76.42,0.776,31.27,58.75,2618,84.34,2,0
M00260,Plant_C,73.52,0.992,26.67,58.68,307,74.55,0,0
M00261,Plant_A,87.44,0.524,43.03,44.41,273,83.03,1,0
M00262,Plant_B,78.19,0.916,39.39,56.31,1923,68.25,0,0
M00263,Plant_A,73.51,0.335,41.6,51.58,1204,51.4,5,0
M00264,Plant_A,93.21,0.491,21.19,53.28,1141,98.7,3,0
M00265,Plant_C,94.2,0.345,33.72,55.71,1116,90.97,0,0
M00266,Plant_B,74.0,1.011,32.76,43.85,807,53.67,0,0
M00267,Plant_D,61.33,0.423,32.76,50.78,1483,72.46,0,0
M00268,Plant_D,90.08,0.917,30.07,41.9,1991,81.75,1,1
M00269,Plant_C,73.15,1.143,32.23,69.39,1402,59.53,4,0
M00270,Plant_C,87.91,0.728,41.8,43.56,2544,78.9,3,0
M00271,Plant_B,60.3,0.74,19.7,47.76,2913,76.68,3,0
M00272,Plant_D,88.93,0.661,49.22,66.74,776,60.41,1,0
M00273,Plant_D,67.89,0.526,38.87,54.48,2664,57.06,5,0
M00274,Plant_D,87.31,0.676,34.66,44.07,761,87.95,0,0
M00275,Plant_A,80.14,0.803,42.25,51.53,1663,66.13,4,0
M00276,Plant_D,70.46,1.186,23.39,43.48,1360,62.2,2,0
M00277,Plant_A,75.93,1.138,29.68,46.01,2453,86.89,1,0
M00278,Plant_B,86.86,1.062,34.03,41.56,457,86.8,5,1
M00279,Plant_A,81.06,1.089,45.92,53.15,1408,63.82,4,0
M00280,Plant_B,85.84,0.668,34.63,64.2,1416,93.63,5,0
M00281,Plant_D,99.76,0.857,38.6,57.58,518,84.41,1,0
M00282,Plant_D,64.36,1.095,30.28,58.19,1591,67.29,1,0
M00283,Plant_B,96.17,0.593,38.89,46.02,741,71.37,2,0
M00284,Plant_C,81.04,1.162,48.42,50.32,1693,86.34,5,1
M00285,Plant_B,71.01,0.616,42.96,65.36,606,60.58,4,0
M00286,Plant_C,66.7,0.801,34.35,42.64,1781,73.44,5,1
M00287,Plant_A,78.11,0.91,40.4,65.74,1601,82.68,5,0
M00288,Plant_A,89.22,1.151,39.62,54.51,1485,76.97,0,1
M00289,Plant_A,78.72,0.445,39.05,65.11,411,80.42,5,0
M00290,Plant_D,95.11,0.946,43.9,49.54,1757,77.31,4,0
M00291,Plant_A,65.49,0.721,43.84,50.17,2851,59.96,4,0
M00292,Plant_C,79.88,0.469,33.98,62.55,344,70.51,0,0
M00293,Plant_A,67.48,0.977,40.14,63.55,576,76.6,2,0
M00294,Plant_B,83.64,0.752,31.94,46.89,714,89.0,4,0
M00295,Plant_B,88.87,0.861,27.62,69.19,2583,82.7,5,0
M00296,Plant_D,75.79,0.523,32.84,42.53,349,71.33,5,1
M00297,Plant_B,53.96,0.681,34.39,42.06,2624,98.72,0,0
M00298,Plant_C,81.99,0.817,21.71,57.87,1695,55.39,1,0
M00299,Plant_A,84.37,0.605,41.88,61.68,1873,60.34,1,0
M00300,Plant_D,84.04,0.398,12.86,68.83,2029,67.07,0,0
M00301,Plant_A,92.36,1.162,56.72,52.15,1975,61.43,1,0
M00302,Plant_A,69.29,0.711,47.02,40.76,610,81.27,4,1
M00303,Plant_C,86.8,0.934,32.91,58.09,1769,51.98,0,1
M00304,Plant_B,91.93,0.611,35.08,48.69,1972,58.87,5,1
M00305,Plant_B,62.21,0.555,37.42,52.99,873,64.67,4,0
M00306,Plant_A,83.2,0.607,30.29,54.65,1465,84.17,3,0
M00307,Plant_D,74.96,0.609,36.54,41.94,1023,93.79,2,0
M00308,Plant_B,79.18,0.744,33.85,54.58,173,89.92,5,0
M00309,Plant_D,83.48,0.743,34.25,52.79,908,59.1,5,0
M00310,Plant_B,75.13,0.697,36.45,61.38,2978,78.27,2,1
M00311,Plant_D,73.24,0.335,24.49,59.37,1145,51.5,2,0
M00312,Plant_C,80.34,0.696,35.32,45.56,2367,65.53,0,0
M00313,Plant_D,69.13,0.369,36.31,46.18,2226,90.3,3,0
M00314,Plant_C,69.14,0.326,36.03,47.53,334,72.83,2,0
M00315,Plant_C,86.79,1.133,33.27,45.37,2304,57.5,4,1
M00316,Plant_D,68.51,0.805,44.1,59.72,2474,71.93,5,1
M00317,Plant_C,86.66,0.859,32.17,69.83,741,59.9,2,0
M00318,Plant_A,84.63,0.602,36.82,59.56,720,69.66,3,0
M00319,Plant_C,62.74,1.109,45.38,58.2,1084,74.39,4,0
M00320,Plant_B,73.22,0.838,34.36,52.3,1398,67.48,4,0
M00321,Plant_D,91.94,0.969,36.72,49.38,2753,96.85,0,1
M00322,Plant_A,70.19,0.569,34.23,67.33,1717,78.13,0,0
M00323,Plant_D,75.36,1.16,44.9,69.07,2896,92.14,1,1
M00324,Plant_B,84.62,1.02,32.94,54.9,1895,88.04,3,0
M00325,Plant_B,87.83,1.054,45.27,48.71,959,83.06,4,1
M00326,Plant_B,77.48,0.372,34.17,63.1,2720,74.84,3,0
M00327,Plant_C,74.02,0.471,28.12,43.97,2185,50.11,2,0
M00328,Plant_C,94.22,0.486,40.43,62.97,2265,80.67,5,0
M00329,Plant_D,97.39,0.471,32.56,64.57,2537,67.8,2,0
M00330,Plant_D,89.79,1.055,39.96,43.75,2827,55.89,5,1
M00331,Plant_A,80.85,0.232,13.16,69.31,476,72.23,1,0
M00332,Plant_A,71.92,0.276,35.04,69.57,2996,86.78,4,0
M00333,Plant_D,71.7,0.474,31.32,68.1,1997,98.08,5,0
M00334,Plant_C,85.23,0.4,26.49,54.88,475,68.71,4,1
M00335,Plant_B,84.18,0.432,30.57,47.38,1704,77.14,5,0
M00336,Plant_D,94.02,0.998,30.41,57.46,694,92.56,1,0
M00337,Plant_A,86.5,0.763,34.62,52.6,2894,66.7,2,0
M00338,Plant_C,64.97,0.206,24.06,46.18,1165,57.11,4,0
M00339,Plant_D,90.52,0.629,37.53,52.71,2107,64.09,5,1
M00340,Plant_D,70.02,0.608,45.93,59.92,2605,94.96,3,0
M00341,Plant_C,76.16,0.314,37.25,42.13,1151,57.97,4,0
M00342,Plant_D,82.5,0.876,41.47,50.0,2888,66.46,5,1
M00343,Plant_C,99.96,0.902,43.76,40.53,728,73.23,5,0
M00344,Plant_B,111.1,0.921,44.89,62.48,2473,92.36,2,1
M00345,Plant_C,86.07,0.928,49.96,59.22,1632,96.89,4,1
M00346,Plant_C,78.17,0.2,31.01,41.88,2766,71.29,4,0
M00347,Plant_C,85.35,1.154,29.25,68.94,2472,96.6,0,1
M00348,Plant_D,88.88,1.014,41.27,40.68,1930,58.07,5,1
M00349,Plant_D,76.79,1.104,40.67,57.7,1283,57.84,4,1
M00350,Plant_C,97.95,0.216,41.21,63.29,2663,97.46,5,0
M00351,Plant_D,82.3,1.134,50.11,63.64,845,75.48,1,0
M00352,Plant_A,84.98,1.01,35.09,41.03,1377,59.3,1,0
M00353,Plant_A,86.66,1.037,38.41,67.19,2051,74.4,3,1
M00354,Plant_D,84.22,0.293,27.16,67.55,2395,89.16,4,1
M00355,Plant_D,88.39,0.939,52.08,56.84,2545,91.35,3,1
M00356,Plant_C,73.83,1.16,32.31,54.46,2729,93.2,2,0
M00357,Plant_B,74.42,0.879,32.53,41.35,2350,78.48,5,0
M00358,Plant_D,69.0,0.771,32.23,56.86,1425,93.35,2,0
M00359,Plant_A,84.4,1.146,29.84,52.28,1271,75.5,0,1
M00360,Plant_C,87.79,0.643,29.16,63.18,320,80.35,0,0
M00361,Plant_D,84.58,0.799,30.81,52.12,1971,87.94,4,1
M00362,Plant_A,96.74,0.676,24.07,60.51,2410,71.27,4,1
M00363,Plant_A,79.94,1.133,28.72,43.04,2443,53.68,3,0
M00364,Plant_B,86.69,0.276,50.59,43.99,2439,67.51,3,0
M00365,Plant_C,69.08,0.701,40.89,44.19,783,81.2,4,0
M00366,Plant_C,76.13,0.887,42.41,41.37,975,59.62,4,1
M00367,Plant_B,86.96,0.992,44.42,56.24,1154,57.42,0,0
M00368,Plant_B,88.49,0.783,49.67,63.82,2062,64.65,0,0
M00369,Plant_C,77.06,1.109,20.83,58.31,2702,51.61,0,0
M00370,Plant_C,79.28,1.142,25.16,57.25,448,87.17,4,0
M00371,Plant_D,64.82,0.264,28.57,60.42,318,62.94,3,0
M00372,Plant_D,76.43,0.602,31.24,50.19,1122,56.21,1,0
M00373,Plant_B,88.9,0.223,32.6,50.86,549,84.96,1,0
M00374,Plant_D,85.75,0.529,31.42,49.43,603,92.15,3,1
M00375,Plant_A,85.01,0.737,36.75,61.36,185,50.99,3,0
M00376,Plant_D,80.5,1.111,35.28,44.85,1388,61.68,3,1
M00377,Plant_D,80.07,1.047,29.22,40.39,622,97.26,0,0
M00378,Plant_A,73.4,0.327,17.6,57.89,2608,69.26,2,0
